6.12.9.3.31.98, Tester, Tester:enInitialize R
6.12.9.3.31.99, Ts, TestSite:enInitialize R
6.12.9.3.31.99, Ts, TestSiteS:enInitialize
6.12.9.3.31.99, Arm, Arm:enInitialize R
6.12.9.3.31.99, Arm, Arm:enInitialize
6.12.9.3.31.99, Manual, Manual:enInitialize R
6.12.9.3.36.81, Arm, Arm:enToInput
6.12.9.3.36.82, Arm, Arm:enTSRemainICStart
6.12.9.3.36.83, Arm, Arm:enTSRemainICContactHome
6.12.9.3.36.84, Arm, Arm:enTSRemainICDryHome
6.12.9.3.36.85, Arm, Arm:enTSRemainICTSDown
6.12.9.3.36.86, Arm, Arm:enTSRemainICTSVaccOn
6.12.9.3.36.87, Arm, Arm:enTSRemainICTSVaccEnd
6.12.9.3.36.88, Arm, Arm:enTSRemainICTSUp
6.12.9.3.36.89, Arm, Arm:enTSRemainICCheck
6.12.9.3.36.90, Arm, Arm:enTSRemainICEnd
6.12.9.3.36.91, Arm, Arm:enToInput
6.12.9.3.36.92, Arm, 2D . 1C
6.12.9.3.36.92, Arm, Arm:enRepeatToInput
6.12.9.3.36.93, Arm, Arm:enRepeatPickIC
6.12.9.3.36.94, Arm, Arm:enRepeatVacc
6.12.9.3.36.95, Arm, Arm:enRepeatVaccEnd
6.12.9.3.36.96, Arm, Arm:enRepeatInToHome
6.12.9.3.36.97, Arm, Arm:enRepeatInToHomeEnd
6.12.9.3.36.99, Arm, Arm:enRotatorInCheckSetting
6.12.9.3.37.00, Arm, Arm:enRotatorInGoToRotator
6.12.9.3.37.32, Ts, TestSiteS:enShuttleHome
6.12.9.3.37.33, Ts, TestSiteS:enShuttleHomeStandy
6.12.9.3.37.52, Arm, Arm:enRotatorInCheckReadyForInput
6.12.9.3.37.53, Arm, Arm:enRotatorInBlowDown
6.12.9.3.37.53, Ts, TestSiteS:enShuttleHomeStandy
6.12.9.3.37.54, Arm, Arm:enRotatorInBlow
6.12.9.3.37.55, Arm, Arm:enRotatorInBlowUp
6.12.9.3.37.55, Ts, TestSiteS:enShuttleHomeStandy
6.12.9.3.37.56, Arm, Arm:enRotatorInCheckJamForBlow
6.12.9.3.37.56, Ts, TestSiteS:enShuttleHomeStandy
6.12.9.3.38.08, Arm, Arm:enRotatorInTurn
6.12.9.3.38.09, Ts, TestSiteS:enShuttleHomeStandy
6.12.9.3.38.09, Arm, Arm:enRotatorInCheckJamForPick
6.12.9.3.38.10, Ts, TestSiteS:enShuttleHomeStandy
6.12.9.3.38.10, Arm, Arm:enRotatorInPickDown
6.12.9.3.38.11, Ts, TestSiteS:enShuttleHomeStandy
6.12.9.3.38.11, Arm, Arm:enRotatorInPick
6.12.9.3.38.12, Ts, TestSiteS:enShuttleHomeStandy
6.12.9.3.38.12, Arm, Arm:enRotatorInPickUp
6.12.9.3.38.13, Ts, TestSiteS:enShuttleHomeStandy
6.12.9.3.38.13, Arm, Arm:enRotatorInEnd
6.12.9.3.38.14, Ts, TestSiteS:enShuttleHomeStandy
6.12.9.3.38.14, Arm, Arm:enToShuttle
6.12.9.3.38.15, Ts, TestSiteS:enShuttleHomeStandy
6.12.9.3.38.15, Arm, Arm:enShuttlePlaceIC
6.12.9.3.38.16, Ts, TestSiteS:enShuttleHomeStandy
6.12.9.3.38.16, Arm, Arm:enShuttleBlow
6.12.9.3.38.17, Arm, Arm:enShuttleUp
6.12.9.3.38.17, Ts, TestSiteS:enShuttleHomeStandy
6.12.9.3.38.18, Arm, Arm:enShuttleCheckJam
6.12.9.3.38.19, Arm, Arm:enShuttleCheckJamOK
6.12.9.3.38.19, Ts, TestSiteS:enShuttleHomeStandy
6.12.9.3.38.21, Arm, Arm:enToStandy
6.12.9.3.38.22, Arm, Arm:enToStandyEnd
6.12.9.3.38.23, Arm, Arm:enToStandyWait
6.12.9.3.38.72, Ts, TestSiteS:enShuttleInput
6.12.9.3.38.72, Arm, Arm:enToStandyWait
6.12.9.3.38.73, Ts, TestSiteS:enShuttleInputJam
6.12.9.3.38.74, Ts, TestSiteS:enShutlleInputEnd
6.12.9.3.38.74, Arm, Arm:enToStandyWait
6.12.9.3.38.75, Ts, TestSiteS:enTestSitePickForVacc
6.12.9.3.38.76, Arm, Arm:enToStandyWait
6.12.9.3.38.76, Ts, TestSiteS:enTestSiteVaccForUp
6.12.9.3.38.77, Arm, Arm:enToStandyWait
